Statistical profiling result from isolate-0x2baed10-v8.log, (589 ticks, 0 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3   30.0%        LazyCompile: ~tryPackage module.js:90:20
      3  100.0%          LazyCompile: ~Module._findPath module.js:128:28
      3  100.0%            LazyCompile: ~Module._resolveFilename module.js:312:35
      8    3.8%      Function: ~<anonymous> node.js:10:10

    107   18.2%  node::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
    107  100.0%    /usr/bin/nodejs
     56   52.3%      LazyCompile: ~exports.runInThisContext vm.js:52:36
     56  100.0%        LazyCompile: ~Module._compile module.js:367:37
     56  100.0%          LazyCompile: ~Module._extensions..js module.js:415:37
     56  100.0%            LazyCompile: ~Module.load module.js:335:33
     42   39.3%      LazyCompile: ~runInThisContext node.js:868:28
     42  100.0%        LazyCompile: ~NativeModule.compile node.js:949:44
     42  100.0%          LazyCompile: ~NativeModule.require node.js:883:34
      6   14.3%            LazyCompile: Module._load module.js:272:24
      5   11.9%            Function: ~<anonymous> module.js:1:11
      4    9.5%            LazyCompile: ~startup node.js:13:19
      4    9.5%            Function: ~<anonymous> tls.js:1:11
      4    9.5%            Function: ~<anonymous> http.js:1:11
      3    7.1%            Function: ~<anonymous> tty.js:1:11
      2    4.8%            LazyCompile: ~startup.globalVariables node.js:178:37
      2    4.8%            LazyCompile: ~listen net.js:1267:16
      2    4.8%            Function: ~<anonymous> cluster.js:1:11
      2    4.8%            Function: ~<anonymous> child_process.js:1:11
      2    4.8%            Function: ~<anonymous> assert.js:1:11
      1    2.4%            LazyCompile: ~startup.globalTimeouts node.js:188:36
      1    2.4%            LazyCompile: ~masterInit cluster.js:195:20
      1    2.4%            Function: ~<anonymous> url.js:1:11
      1    2.4%            Function: ~<anonymous> timers.js:1:11
      1    2.4%            Function: ~<anonymous> stream.js:1:11
      1    2.4%            Function: ~<anonymous> _tls_wrap.js:1:11
      9    8.4%      LazyCompile: *exports.runInThisContext vm.js:52:36
      9  100.0%        LazyCompile: ~Module._compile module.js:367:37
      5   55.6%          LazyCompile: *Module._extensions..js module.js:415:37
      5  100.0%            LazyCompile: ~Module.load module.js:335:33
      4   44.4%          LazyCompile: ~Module._extensions..js module.js:415:37
      4  100.0%            LazyCompile: ~Module.load module.js:335:33

     16    2.7%  /lib/x86_64-linux-gnu/libc-2.23.so
      5   31.3%    v8::internal::Runtime_CompileLazy(int, v8::internal::Object**, v8::internal::Isolate*)
      1   20.0%      LazyCompile: ~set /home/phillipdaw/code/gpxAQI/server/node_modules/express/lib/application.js:352:23
      1  100.0%        LazyCompile: ~enable /home/phillipdaw/code/gpxAQI/server/node_modules/express/lib/application.js:452:29
      1  100.0%          LazyCompile: ~defaultConfiguration /home/phillipdaw/code/gpxAQI/server/node_modules/express/lib/application.js:70:57
      1  100.0%            LazyCompile: ~init /home/phillipdaw/code/gpxAQI/server/node_modules/express/lib/application.js:57:25
      1   20.0%      LazyCompile: ~realpathSync fs.js:1383:40
      1  100.0%        LazyCompile: ~toRealPath module.js:111:20
      1  100.0%          LazyCompile: ~Module._findPath module.js:128:28
      1  100.0%            LazyCompile: ~Module._resolveFilename module.js:312:35
      1   20.0%      LazyCompile: ~CallSiteToString native messages.js:412:26
      1  100.0%        LazyCompile: FormatStackTrace native messages.js:548:26
      1  100.0%          LazyCompile: ~aN native messages.js:598:16
